Record Key	User Code	Link Code
01010100		
0101010000	8810000	
01010100000	AGT	8250030
01010100001	ALVIC	8250030
01010100002	EGGER-16мм	8250030
01010100003	EGGER-18мм	8250030
01010100004	Без Фасада	8250030
01010100005	ALUM MDM 19X20X19	8250030
01010100006	ALUM MDM 45X20X8	8250030
01010100007	ALUM MDM 45X20X20	8250030
0101010001	8880000	
010101000100	BITTER	8280120
010101000101	BREZEE BEIGE	8280120
010101000102	CLOUDY GREY	8280120
010101000103	DOLPHIN GREY	8280120
010101000104	FOREST GREEN	8280120
010101000105	GLAMOROUS PACIFIC	8280120
010101000106	ICE GREY	8280120
010101000107	LONDON BLUES	8280120
010101000108	MACARON GREEN	8280120
010101000109	MOONLIGHT	8280120
01010100010A	PEARL BLACK	8280120
01010100010B	PEARL WHITE	8280120
01010100010C	PEBBLE GREY	8280120
01010100010D	PINKY DAISY	8280120
01010100010E	ROYAL GREY	8280120
01010100010F	RUSTIC RED	8280120
01010100010G	SAFARI GREY	8280120
01010100010H	SAHARA CREAM	8280120
01010100010I	SNOW WHITE	8280120
01010100010J	TIMELESS GREY	8280120
01010100010K	Глянец Бежевый	8280120
01010100010L	Глянец Белый	8280120
01010100010M	Глянец Бьянко	8280120
01010100010N	Глянец Крем	8280120
01010100010O	Суперматовый Белый	8280120
01010100010P	__	8280120
01010100010Q	ANTRACITA METALDECO	8280120
01010100010R	ANTRACITA SUPERMAT	8280120
01010100010S	ANTRACITA Глянец	8280120
01010100010T	BASALTO METALDECO	8280120
01010100010U	BASALTO PEARL EFFECT Глянец	8280120
01010100010V	BASALTO SUPERMAT	8280120
01010100010W	BASALTO Глянец	8280120
01010100010X	BLANCO COLONIAL PEARL EFFECT Глянец	8280120
01010100010Y	BLANCO METALDECO	8280120
01010100010Z	BLANCO POLAR	8280120
010101000110	BLANCO SUPERMAT	8280120
010101000111	BLANCO Глянец	8280120
010101000112	CACHEMIR METALDECO	8280120
010101000113	CACHEMIR Глянец	8280120
010101000114	CASHEMIRE SUPERMAT	8280120
